,FileName,FlowSOM_metacluster_1,FlowSOM_metacluster_2,FlowSOM_metacluster_3,FlowSOM_metacluster_4,FlowSOM_metacluster_5,FlowSOM_metacluster_6,FlowSOM_metacluster_7,FlowSOM_metacluster_8,FlowSOM_metacluster_9,FlowSOM_metacluster_10,FlowSOM_metacluster_11,FlowSOM_metacluster_12,FlowSOM_metacluster_13,FlowSOM_metacluster_14,FlowSOM_metacluster_15,FlowSOM_metacluster_16,FlowSOM_metacluster_17,FlowSOM_metacluster_18,FlowSOM_metacluster_19,FlowSOM_metacluster_20
0,P08_C1_D8,309,396,630,243,27,30,1,2316,189,3,3148,168,1015,15,29,1225,720,54,0,183
1,P08_C7_D1,184,61,159,82,12,8,0,726,30,0,535,86,169,0,1,343,118,10,0,21
2,P08_C7_D22,75,9,36,21,5,0,0,88,10,0,60,66,24,2,1,50,14,15,0,3
3,P08_SPD,76,6,46,19,2,0,0,58,4,0,61,67,12,0,0,26,2,6,0,2
4,P24_C1_D1,2084,308,11708,1947,37,31,0,627,3,1,2351,222,34,4,11,13,28,32,19,7
5,P24_C1_D8,919,60,2307,449,11,20,0,37,2,4,151,77,11,5,15,3,12,1,0,0
6,P24_C7_D1,6957,799,15681,7619,722,1245,7,1136,103,16,2729,3806,240,22,1044,351,130,17,4,37
7,P19_C1_D1,269,419,797,160,2,8,3,3500,3,0,4839,7,33,12,3,20,90,482,11,11
8,P19_C1_D8,56,15,31,61,6,51,6,207,17,3,103,1,47,6,6,74,126,3,0,31
9,P19_C7_D1,60,17,69,50,3,9,1,34,1,3,52,4,4,5,4,20,8,0,0,2
10,P19_C7_D22,334,121,353,223,27,30,0,162,8,13,363,26,31,18,17,38,61,3,0,4
11,P12_C1_D1,208,304,797,110,1,0,1,4250,2,3,1875,2,113,29,4,18,207,333,24,44
12,P12_C1_D8,18,57,126,86,2,7,5,160,18,15,322,1,52,49,46,12,247,3,3,33
13,P12_C12_D29,40,224,136,271,5,40,15,526,42,4,777,7,160,35,157,50,634,17,2,40
14,P12_C7_D22,27,128,71,152,5,35,5,323,23,7,507,1,97,24,98,21,387,15,0,37
15,P04_C1_D1,203,770,2393,450,0,3,2,21389,5,6,33454,7,82,37,2,162,147,1533,3,1
16,P04_C1_D8,10,48,26,26,1,8,2,283,6,6,319,1,65,19,23,39,126,6,0,10
17,P04_C12_D29,264,638,857,2577,72,749,149,4071,89,6,7920,35,883,247,2147,361,6979,74,6,648
18,P04_C7_D22,48,215,121,331,10,69,17,688,23,9,1124,2,176,42,234,52,849,15,0,72
19,P03_C1_D1,6,0,16,16,0,13,0,536,0,1,78,0,101,389,5,9,67,0,0,7
20,P03_C1_D8,621,138,903,455,59,81,0,721,7,4,522,162,27,32,39,262,104,4,0,1
21,P03_C12_D29,2288,322,3962,1873,169,315,5,1970,24,4,1308,837,85,7,212,638,241,4,1,9
22,P03_C7_D1,549,93,817,406,44,101,0,680,34,6,441,216,78,14,55,267,128,1,1,17
23,P03_C7_D22,1959,475,811,735,138,207,0,4055,47,28,2610,396,112,88,19,1583,506,2,0,20
24,P27_C1_D1,367,286,784,9976,587,23980,5,3962,8,12,3714,23,183,41,715,299,1992,102,1118,157
25,P38_C1_D1,1908,1303,16347,3452,46,126,0,2857,129,6,18081,111,4378,75,22,131,1359,1104,162,351
26,P38_C1_D8,856,285,9184,1321,6,14,0,758,215,14,7223,37,3829,219,37,33,1318,12,2,388
27,P06_C12_D29,220,9,32,252,108,1259,1,194,4,0,100,70,23,2,48,156,81,0,3,23
28,P06_C7_D22,42,8,6,35,11,88,0,40,1,1,41,7,16,4,4,11,11,0,0,4
29,P10_C1_D1,17,4,426,83,0,0,0,70,0,7,291,0,2,371,0,0,39,0,0,1
30,P10_C1_D8,920,426,15626,6848,134,360,2,919,28,23,6071,42,232,302,107,69,906,45,8,94
31,P10_C12_D29,47,13,646,379,3,25,0,33,1,1,255,4,11,3,2,4,30,2,0,3
32,P10_C7_D1,1319,474,13315,6247,152,292,5,1032,36,38,6387,91,250,217,92,144,864,44,3,82
33,P10_C7_D22,748,174,6742,2344,37,79,3,378,9,16,2371,37,150,89,38,44,274,11,0,30
34,P16_C1_D1,14,9,236,54,0,0,0,60,0,4,213,0,11,317,13,1,77,0,0,9
35,P16_C1_D8,228,188,822,1036,57,1579,8,3426,262,21,5425,42,2487,36,975,341,4109,13,6,1651
36,P16_C7_D1,117,349,675,581,70,1579,1,1986,369,11,3889,54,2315,55,754,290,2829,22,1,1778
37,P16_C7_D22,93,290,507,446,40,988,3,1475,264,16,2993,33,2001,33,606,208,1983,21,1,1350
38,P14_C1_D1,2010,763,26600,6203,52,36,0,2070,3,14,14168,8,96,63,20,29,476,119,100,22
39,P14_C1_D8,477,118,850,562,31,48,4,192,6,5,521,39,40,12,16,66,72,6,0,9
40,P14_C7_D22,852,191,682,609,71,115,4,374,22,2,748,71,60,6,27,162,103,3,2,15
41,P14_SPD,1433,190,1835,1669,156,264,19,259,10,17,1367,158,27,33,174,88,121,2,0,7
42,P05_C1_D1,138,216,651,360,25,112,0,656,16,19,2411,10,119,111,9,129,323,128,93,18
43,P05_C1_D8,326,210,1694,801,25,49,0,257,24,56,1580,19,169,85,33,37,295,21,3,22
44,P05_C12_D29,3,3,22,0,0,0,0,1,1,0,62,0,13,8,1,1,5,0,0,1
45,P02_C1_D8,6,53,23,27,1,1,0,443,19,0,339,1,170,2,1,164,82,0,0,21
46,P02_C7_D1,82,67,426,98,16,17,0,685,62,0,533,56,418,1,0,872,131,1,0,38
47,P02_C7_D22,11,3,54,11,2,1,0,92,4,0,45,3,44,0,0,75,19,0,0,6
48,P02_SPD_2,2053,147,633,554,61,98,4,1186,150,12,631,89,1128,9,17,752,320,6,0,78
49,P02_SPD,4,3,28,7,0,0,0,33,3,1,33,1,49,0,0,28,6,0,0,4
50,P01_C1_D1,0,2,5,0,0,0,0,0,0,0,11,0,8,234,0,0,6,0,0,0
51,P01_C1_D8,42,87,810,181,4,41,0,194,12,10,1226,28,107,5,19,23,163,7,2,51
52,P01_C12_D29,35,45,224,64,3,5,0,67,5,3,417,42,45,3,5,106,42,2,0,12
53,P01_C7_D1,8,11,73,21,0,29,0,54,3,0,169,6,40,3,13,11,54,1,0,25
54,P01_C7_D22,5,9,50,12,1,2,0,17,0,0,71,7,6,0,0,8,4,0,0,0
55,P11_C1_D1,4,2,64,13,0,0,0,107,0,9,640,0,278,2499,1,1,176,0,0,2
56,P11_C1_D8,148,589,1670,452,4,10,1,1978,122,53,5564,14,996,559,40,79,883,33,4,116
57,P11_C12_D29,23,42,58,13,0,1,2,85,1,7,368,0,122,86,6,8,102,1,0,4
58,P11_C7_D1,55,133,576,173,5,2,0,719,44,16,1929,10,348,158,8,41,271,9,0,50
59,P11_C7_D22,17,25,74,23,0,3,4,76,21,42,166,1,44,34,10,12,31,1,0,6
60,P28_C1_D1,0,5,290,11,0,0,0,267,1,8,724,0,35,10146,5,1,181,1,2,1
61,P28_C1_D8,55,36,275,55,1,19,12,202,7,17,505,3,16,68,15,4,64,2,0,1
