,Image Location,Analysis Region,Algorithm Name,Object Id,XMin,XMax,YMin,YMax,Phenotype 1,Phenotype 2,2025_10_13_HH,DAPI Positive Classification,DAPI Positive Nucleus Classification,DAPI Nucleus Intensity,DAPI Cell Intensity,PD-1 (Opal 620) Cell Intensity,Ki67 (Opal 540) Positive Classification,Ki67 (Opal 540) Positive Nucleus Classification,Ki67 (Opal 540) Nucleus Intensity,Ki67 (Opal 540) Cell Intensity,CD3 (Opal 520) Cell Intensity,CD56 (Opal 570) Cell Intensity,CD34 (Opal 650) Cell Intensity,CXCL12 (Opal 690) Cell Intensity,CD8 (Opal 780) Cell Intensity,CD4 (Opal 480) Cell Intensity,Cell Area (µm²),Cytoplasm Area (µm²),Membrane Area (µm²),Nucleus Area (µm²),Nucleus Perimeter (µm),Nucleus Roundness
0,D:\OPAL projects\John__Pimanda\NEP 1 NEP 2 restitch.tif,NEP2_2,JP HH cell intensity 25102025,0,21730,21744,58227,58244,0,0,Neg,0,0,0.320519,0.320519,0.122164,0,0,0.474647,0.474647,0.745413,0.330326,0.0,0.014223,0.0,0.818225,44.64838,0,0,44.64838,30.296566,0.755461
1,D:\OPAL projects\John__Pimanda\NEP 1 NEP 2 restitch.tif,NEP2_2,JP HH cell intensity 25102025,1,22354,22363,58388,58400,0,0,Neg,0,0,0.34138,0.34138,0.252216,0,0,0.763281,0.763281,0.102502,0.252457,0.0,0.004175,0.0,2.01673,25.65432,0,0,25.65432,20.85993,0.77942
2,D:\OPAL projects\John__Pimanda\NEP 1 NEP 2 restitch.tif,NEP2_2,JP HH cell intensity 25102025,2,22152,22164,58410,58417,0,0,Neg,0,0,0.311217,0.311217,0.192243,1,1,1.064285,1.064285,0.035934,0.077088,0.0,0.006695,0.0,2.756027,14.800569,0,0,14.800569,18.376606,0.608983
3,D:\OPAL projects\John__Pimanda\NEP 1 NEP 2 restitch.tif,NEP2_2,JP HH cell intensity 25102025,3,22678,22696,57770,57785,0,0,Neg,0,0,0.396288,0.396288,0.047318,0,0,0.300455,0.300455,0.046847,0.269293,0.001474,0.00688,0.000475,0.098735,55.995483,0,0,55.995483,32.779892,0.79829
4,D:\OPAL projects\John__Pimanda\NEP 1 NEP 2 restitch.tif,NEP2_2,JP HH cell intensity 25102025,4,23075,23093,58387,58408,0,0,CD4_T,0,0,0.563547,0.563547,0.42578,0,0,0.295935,0.295935,0.874481,4.650292,0.035375,0.342512,0.076079,0.77356,71.04273,0,0,71.04273,38.739872,0.757884
5,D:\OPAL projects\John__Pimanda\NEP 1 NEP 2 restitch.tif,NEP2_2,JP HH cell intensity 25102025,5,22437,22451,58397,58411,0,0,Neg,0,0,0.388714,0.388714,0.096831,0,0,0.666052,0.666052,0.08385,0.206645,0.0,0.002465,0.00716,0.934798,32.067898,0,0,32.067898,27.813242,0.715385
6,D:\OPAL projects\John__Pimanda\NEP 1 NEP 2 restitch.tif,NEP2_2,JP HH cell intensity 25102025,6,23851,23872,57898,57918,0,0,Neg,0,0,0.431001,0.431001,0.295784,1,1,1.029148,1.029148,0.652585,0.459163,0.001544,0.229172,0.0,3.226031,54.762104,0,0,54.762104,42.216526,0.539846
7,D:\OPAL projects\John__Pimanda\NEP 1 NEP 2 restitch.tif,NEP2_2,JP HH cell intensity 25102025,7,19853,19871,59122,59137,0,0,Neg,0,0,0.413933,0.413933,0.021305,0,0,0.130527,0.130527,0.097071,0.239096,0.0,0.005716,0.0,0.924904,39.221508,0,0,39.221508,34.269886,0.689721
8,D:\OPAL projects\John__Pimanda\NEP 1 NEP 2 restitch.tif,NEP2_2,JP HH cell intensity 25102025,8,19897,19913,59139,59153,0,0,Neg,0,0,0.346029,0.346029,0.193509,0,0,0.468669,0.468669,0.463556,0.824002,0.0,0.040302,0.0,3.777688,48.348522,0,0,48.348522,29.799902,0.855993
9,D:\OPAL projects\John__Pimanda\NEP 1 NEP 2 restitch.tif,NEP2_2,JP HH cell intensity 25102025,9,19909,19922,59173,59186,0,0,CD4_T,0,0,0.321003,0.321003,0.280962,0,0,0.460311,0.460311,0.700172,0.780053,0.0,0.057813,0.0,4.010571,39.46818,0,0,39.46818,25.826582,0.851008
