,Image Location,Analysis Region,Algorithm Name,Object Id,XMin,XMax,YMin,YMax,Phenotype 1,Phenotype 2,2025_10_13_HH,DAPI Positive Classification,DAPI Positive Nucleus Classification,DAPI Nucleus Intensity,DAPI Cell Intensity,PD-1 (Opal 620) Cell Intensity,Ki67 (Opal 540) Positive Classification,Ki67 (Opal 540) Positive Nucleus Classification,Ki67 (Opal 540) Nucleus Intensity,Ki67 (Opal 540) Cell Intensity,CD3 (Opal 520) Cell Intensity,CD56 (Opal 570) Cell Intensity,CD34 (Opal 650) Cell Intensity,CXCL12 (Opal 690) Cell Intensity,CD8 (Opal 780) Cell Intensity,CD4 (Opal 480) Cell Intensity,Cell Area (µm²),Cytoplasm Area (µm²),Membrane Area (µm²),Nucleus Area (µm²),Nucleus Perimeter (µm),Nucleus Roundness
0,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,0,12817,12842,7224,7256,0,0,Neg,0,0,0.349674,0.349674,0.27881,0,0,0.37635,0.37635,0.513738,2.046349,0.361347,0.412218,0.056825,1.652878,105.57739,0,0,105.57739,57.613144,0.539495
1,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,1,12789,12800,7233,7245,0,0,Neg,1,1,1.415374,1.415374,0.34074,0,0,0.731314,0.731314,0.16807,2.372364,0.315686,0.429893,0.215648,3.004781,20.47412,0,0,20.47412,21.85326,0.619505
2,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,2,12801,12819,7237,7248,0,0,Neg,1,1,1.134481,1.134481,0.422595,0,0,0.57699,0.57699,0.16994,1.992181,0.525095,0.404156,0.446299,1.761695,38.728153,0,0,38.728153,28.806572,0.647664
3,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,3,12776,12802,7244,7264,0,0,Neg,1,1,1.434278,1.434278,0.338985,1,1,2.523504,2.523504,0.370134,3.313893,0.156832,0.668678,0.064723,0.729016,67.34259,0,0,67.34259,53.639824,0.572167
4,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,4,12782,12825,7246,7280,0,0,Neg,0,0,0.758626,0.758626,0.352013,1,1,1.581078,1.581078,0.23872,3.672925,0.564175,0.638833,0.106232,0.392962,174.15335,0,0,174.15335,82.94306,0.638216
5,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,5,12766,12777,7257,7266,0,0,Neg,1,1,1.023105,1.023105,0.398621,1,1,1.473694,1.473694,0.32816,4.067781,0.348265,0.451636,0.197484,4.197402,15.047245,0,0,15.047245,19.369936,0.559318
6,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,6,12760,12783,7262,7280,0,0,Neg,0,0,0.960717,0.960717,0.518217,1,1,2.301833,2.301833,0.347221,5.26182,0.281057,0.798986,0.076877,0.637247,59.942303,0,0,59.942303,39.236538,0.673208
7,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,7,12782,12795,7270,7288,0,0,Neg,0,0,0.468888,0.468888,0.269401,0,0,0.280591,0.280591,0.109471,2.787446,0.500464,0.470526,0.037573,0.285772,36.754745,0,0,36.754745,29.303236,0.661013
8,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,8,12749,12760,7273,7290,0,0,Neg,0,0,0.683527,0.683527,0.42802,1,1,1.409842,1.409842,1.571301,3.362896,0.448993,0.564346,0.169363,1.64514,33.794632,0,0,33.794632,27.316576,0.656995
9,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,9,12768,12778,7281,7292,0,0,Neg,0,0,0.343326,0.343326,0.397045,0,0,0.515531,0.515531,0.220007,4.17349,0.349248,0.583745,0.097267,0.384108,17.514006,0,0,17.514006,20.363266,0.605887
10,D:\OPAL projects\John__Pimanda\NEP7-NEP8.tif,Tissue_Layer_1,JP HH cell intensity 25102025,10,12761,12773,7286,7296,0,0,Neg,0,0,0.584753,0.584753,0.378562,1,1,2.584952,2.584952,0.304925,5.097902,0.479795,0.657242,0.139431,1.330774,21.954176,0,0,21.954176,21.356596,0.722183
