,Feature,Correlation,P-value
117,IL15,0.7094426146838175,0.002084276308699405
159,IL7R,0.6976431533169349,0.002659098861065023
202,SIRPA,0.6504453078494045,0.006367409367650839
125,IL17RA,0.6489703751785442,0.006528495238799361
212,TLR3,0.6401207791533823,0.0075644372858628415
156,IL6R,0.6327461157990805,0.008523852200304053
8,BST2,0.6297962504573599,0.008933560444356442
133,IL1R2,0.6179967890904773,0.010730682871856847
71,CXCL16,0.616521856419617,0.010973980128249856
134,IL1RL1,0.6135719910778964,0.01147358959172573
54,CSF1R,0.6120970584070361,0.011730008455536073
165,KNG1,0.6091471930653154,0.012256343213878746
64,CXADR,0.5884981356732707,0.0164795054777453
157,IL6ST,0.5870232030024104,0.016819629607122463
174,MERTK,0.5870232030024104,0.016819629607122463
228,TNFSF11,0.5707989436229469,0.02093260786290663
16,CCL16,0.5604744149269245,0.023928433100626912
58,CSF3R,0.5589994822560642,0.024381968948099016
171,LILRB2,0.5324506941805783,0.03372982058301737
223,TNFRSF21,0.530975761509718,0.03431888884983806
244,VSTM1,0.513276569459394,0.042011062836098505
199,SDC1,0.5073768387759527,0.04484230658719164
214,TNFRSF11A,0.5044269734342322,0.046310296027187094
129,IL18R1,0.4955773774090701,0.050929761726684904
152,IL4R,0.4955773774090701,0.050929761726684904
163,KITLG,0.49262751206734945,0.052543083086276324
68,CXCL12,0.49262751206734945,0.052543083086276324
37,CD274,0.47640325268788586,0.06210130533160993
188,NTF3,0.4587040606375619,0.07392040185443931
247,Patient,0.44100486858723803,0.08729103214718296
227,TNFSF10,0.44100486858723803,0.08729103214718296
154,IL5RA,0.4380550032455173,0.08967719215530935
221,TNFRSF1A,0.4336302052329364,0.09334324409545823
118,IL15RA,0.4306803398912157,0.09584577127040327
56,CSF2RB,0.4174059458534728,0.10769811658497344
150,IL3RA,0.4144560805117521,0.11046567952115967
190,OSMR,0.4115062151700315,0.11328270302924819
21,CCL21,0.3967568884614282,0.1281225847614821
9,C1QA,0.3952819557905678,0.12967681249977833
10,CALCA,0.3938070231197075,0.13124398103772666
12,CCL11,0.3908571577779869,0.1344173035086957
124,IL17F,0.38790729243626615,0.1376428730160303
96,HAVCR1,0.3834824944236852,0.14257987170368341
7,BMP7,0.3834824944236852,0.14257987170368341
166,LAG3,0.3820075617528249,0.14425199455464163
57,CSF3,0.3805326290819645,0.1459374072338784
35,CD200R1,0.3790576964111042,0.14763614582561768
233,TNFSF18,0.3775827637402439,0.14934824585632406
66,CXCL10,0.37463289839852326,0.15281266952228775
123,IL17C,0.3731579657276629,0.1545650613776894
138,IL22,0.3702081003859423,0.15811037136220207
241,VEGFC,0.3672582350442216,0.16170993120593088
192,PDCD1LG2,0.3672582350442216,0.16170993120593088
220,TNFRSF18,0.3672582350442216,0.16170993120593088
90,GDF15,0.3628334370316406,0.16721153262050986
237,TREM1,0.3584086390190596,0.1728365567311177
85,FLT1,0.35545877367733897,0.17665551423579287
180,MMP3,0.35398384100647867,0.17858575519298636
107,IFNW1,0.351033975664758,0.18248788814589872
24,CCL24,0.351033975664758,0.18248788814589872
205,TAFA5,0.3495590429938977,0.18445982887133933
48,CEACAM5,0.3436593123104564,0.192487291669657
183,MPO,0.3392345142978754,0.19865517351446169
175,MICA,0.3392345142978754,0.19865517351446169
23,CCL23,0.3333347836144341,0.20707639243855278
235,TNFSF8,0.33185985094357373,0.2092170588597428
217,TNFRSF13C,0.32301025491841173,0.22235924793394415
206,TEK,0.3082609282098085,0.24540396232609923
162,KDR,0.3067859955389482,0.24778713175399894
208,THBS2,0.29941133218464655,0.2599179279536446
222,TNFRSF1B,0.29646146684292585,0.2648705675701967
145,IL33,0.2935116015012052,0.2698805183300143
79,EPO,0.2890868034886242,0.2775028407208985
200,SELE,0.2846620054760433,0.2852539073870692
15,CCL15,0.2831870728051829,0.2878661725071164
111,IL11,0.2831870728051829,0.2878661725071164
128,IL18BP,0.27286254410916067,0.30655107748352245
170,LIF,0.2684377460965796,0.31477197458201067
4,ANXA1,0.261063082742278,0.3287559985929993
238,TREM2,0.25958815007141767,0.33159501226909105
209,THPO,0.25811321740055737,0.3344480467669001
191,PDCD1,0.256638284729697,0.33731507958744855
155,IL6,0.25368841938797637,0.3430910462381961
197,S100A9,0.25368841938797637,0.3430910462381961
49,CHI3L1,0.2522134867171161,0.34599993110693494
91,GDF2,0.24926362137539534,0.3518593755789078
195,PTX3,0.23893909267937308,0.3728020706720083
89,FURIN,0.23746416000851273,0.3758486734890395
110,IL10RB,0.2345142946667921,0.38198264497222945
69,CXCL13,0.2345142946667921,0.38198264497222945
27,CCL27,0.23008949665421113,0.39128498915293
93,GRN,0.22566469864163013,0.4007081108208783
167,LAMP3,0.22418976597076978,0.4038758101093085
50,CLEC4A,0.22123990062904916,0.4102509538481326
67,CXCL11,0.2168151026164682,0.41991239862034435
224,TNFRSF4,0.21534016994560784,0.4231590335330373
80,FASLG,0.21534016994560784,0.4231590335330373
198,SCG2,0.21534016994560784,0.4231590335330373
234,TNFSF4,0.20501564124958555,0.4462468879728513
46,CD83,0.2035407085787252,0.44959620153249513
43,CD46,0.2020657759078649,0.45295812616261066
5,AREG,0.20059084323700455,0.4563326095948874
115,IL13,0.19911591056614425,0.45971959880351076
153,IL5,0.19911591056614425,0.45971959880351076
98,HLA-DRA,0.1976409778952839,0.4631190400073629
169,LGALS9,0.1961660452244236,0.46653087867229115
36,CD27,0.1961660452244236,0.46653087867229115
187,NGF,0.1961660452244236,0.46653087867229115
59,CST7,0.1961660452244236,0.46653087867229115
139,IL23,0.18731644919926163,0.48725910915015946
100,ICOSLG,0.1858415165284013,0.4907561403368912
132,IL1R1,0.17846685317409966,0.5084190769813686
184,MUC16,0.17256712249065834,0.5227589719860145
102,IFNA2,0.171092189819798,0.5263725063503317
126,IL17RB,0.1696172571489377,0.5299973307562419
232,TNFSF15,0.16666739180721704,0.5372805756906409
146,IL34,0.16519245913635672,0.540938857485393
142,IL2RA,0.16224259379463604,0.5482883877356589
63,CX3CL1,0.1592927284529154,0.5556813962501983
135,IL1RN,0.1533929977694741,0.5705955086063645
207,TGFB1,0.1533929977694741,0.5705955086063645
