,Feature,Correlation,P-value
231,TNFSF14,0.575,0.024936227942582535
106,IFNL2; IFNL3,0.5607142857142856,0.029676496094474678
151,IL4,0.5285714285714286,0.04279728930945035
52,CRP,0.5214285714285714,0.04621923447857302
176,MICB,0.5107142857142856,0.05172549836826929
211,TIMP2,0.4928571428571427,0.06195100671416867
18,CCL19,0.47142857142857136,0.07607042915033121
148,IL36B,0.4678571428571427,0.0786302311543806
145,IL33,0.4535714285714285,0.08948590014302732
172,LTA,0.44999999999999996,0.09235737494812256
14,CCL14,0.4428571428571427,0.0982940655468714
11,CCL1,0.4392857142857142,0.10136057119347248
114,IL12RB1,0.4357142857142856,0.10449335704406641
62,CTSS,0.41823073000629046,0.12080597234759483
226,TNFRSF9,0.39642857142857135,0.1434945314423536
26,CCL26,0.39642857142857135,0.1434945314423536
61,CTLA4,0.3928571428571428,0.1474666553113263
115,IL13,0.3857142857142856,0.15563079458596027
191,PDCD1,0.38214285714285706,0.15982362998696728
219,TNFRSF17,0.37857142857142856,0.1640908265592207
44,CD70,0.3714285714285714,0.17284974708033998
3,ANGPT2,0.3714285714285714,0.17284974708033998
89,FURIN,0.3607142857142856,0.18655437415416354
215,TNFRSF11B,0.35357142857142854,0.19607167843419876
243,VSNL1,0.35,0.2009453508162933
147,IL36A,0.3428571428571428,0.21092379341475206
208,THBS2,0.33928571428571425,0.2160289253419548
40,CD4,0.33571428571428563,0.22121153763932594
36,CD27,0.3321428571428571,0.2264717590707243
203,SLAMF1,0.3321428571428571,0.2264717590707243
94,GZMA,0.3214285714285714,0.2427190468016683
160,IL9,0.3214285714285714,0.2427190468016683
93,GRN,0.3071428571428571,0.2654726857102779
85,FLT1,0.3071428571428571,0.2654726857102779
170,LIF,0.3071428571428571,0.2654726857102779
17,CCL17,0.30357142857142855,0.2713558360038685
28,CCL28,0.30357142857142855,0.2713558360038685
161,IRAK4,0.30357142857142855,0.2713558360038685
220,TNFRSF18,0.28928571428571426,0.29566536100437785
65,CXCL1,0.28928571428571426,0.29566536100437785
108,IKBKG,0.2821428571428571,0.30828445682005556
