,Feature,Correlation,P-value
74,CXCL5,0.7,0.0036660678988013817
113,IL12p70,0.6714285714285713,0.0061277667888201
86,FLT3LG,0.6107142857142855,0.01559283142117561
112,IL12B,0.5928571428571427,0.019846421970181136
33,CCL8,0.5535714285714285,0.03228710377012365
230,TNFSF13,0.5499999999999999,0.03365535781500707
122,IL17B,0.5499999999999999,0.03365535781500707
81,FGF19,0.5178571428571428,0.04800407736655833
95,GZMB,0.5035714285714286,0.05565451716115848
92,GFAP,0.5,0.05769884126896001
201,SELP,0.4892857142857142,0.06416038631454055
82,FGF2,0.48571428571428565,0.06642631232518958
158,IL7,0.4642857142857142,0.08125098075549499
31,CCL5,0.46071428571428563,0.08393338135031411
161,IRAK4,0.457142857142857,0.08667812662416982
13,CCL13,0.4428571428571427,0.0982940655468714
11,CCL1,0.4392857142857142,0.10136057119347248
210,TIMP1,0.4357142857142856,0.10449335704406641
119,IL16,0.4357142857142856,0.10449335704406641
147,IL36A,0.42499999999999993,0.11429547548052224
137,IL20,0.42142857142857143,0.11769939585541649
215,TNFRSF11B,0.4142857142857142,0.12471544223657098
30,CCL4,0.4107142857142856,0.12832864601574887
62,CTSS,0.39857031107437085,0.14114741002791473
151,IL4,0.3928571428571428,0.1474666553113263
2,ANGPT1,0.3928571428571428,0.1474666553113263
103,IFNB1,0.3857142857142856,0.15563079458596027
43,CD46,0.37857142857142856,0.1640908265592207
229,TNFSF12,0.37857142857142856,0.1640908265592207
84,FGF23,0.37499999999999994,0.16843274984674558
67,CXCL11,0.36428571428571427,0.18191025904581395
94,GZMA,0.3607142857142856,0.18655437415416354
131,IL1B,0.3571428571428571,0.19127476343157904
22,CCL22,0.35,0.2009453508162933
105,IFNL1,0.3428571428571428,0.21092379341475206
29,CCL3,0.33928571428571425,0.2160289253419548
241,VEGFC,0.33928571428571425,0.2160289253419548
233,TNFSF18,0.3285714285714285,0.23180969720615968
232,TNFSF15,0.32499999999999996,0.23722543823723408
73,CXCL3,0.32499999999999996,0.23722543823723408
148,IL36B,0.32499999999999996,0.23722543823723408
63,CX3CL1,0.3071428571428571,0.2654726857102779
213,TNF,0.30357142857142855,0.2713558360038685
60,CTF1,0.2964285714285714,0.28335542843426287
194,PDGFB,0.2928571428571428,0.289471667212401
6,BDNF,0.2928571428571428,0.289471667212401
227,TNFSF10,0.2928571428571428,0.289471667212401
49,CHI3L1,0.2821428571428571,0.30828445682005556
193,PDGFA,0.2714285714285714,0.3277893068411727
139,IL23,0.2642857142857143,0.3411737579900821
75,CXCL6,0.24642857142857136,0.37595051597380524
55,CSF2,0.24642857142857136,0.37595051597380524
78,EGF,0.24642857142857136,0.37595051597380524
53,CSF1,0.23928571428571427,0.39037931192023567
102,IFNA2,0.23571428571428568,0.3977029459032728
