,Feature,Correlation,P-value
112,IL12B,0.6285714285714286,0.012079539175905742
74,CXCL5,0.5928571428571427,0.019846421970181136
161,IRAK4,0.5821428571428571,0.022793687126414264
86,FLT3LG,0.5607142857142856,0.029676496094474678
84,FGF23,0.5499999999999999,0.03365535781500707
78,EGF,0.5392857142857141,0.038021656263558
2,ANGPT1,0.4892857142857142,0.06416038631454055
189,OSM,0.47857142857142854,0.07113080825563321
158,IL7,0.475,0.07357086204591357
73,CXCL3,0.47142857142857136,0.07607042915033121
194,PDGFB,0.46071428571428563,0.08393338135031411
42,CD40LG,0.4535714285714285,0.08948590014302732
230,TNFSF13,0.44999999999999996,0.09235737494812256
31,CCL5,0.44999999999999996,0.09235737494812256
0,AGER,0.39642857142857135,0.1434945314423536
103,IFNB1,0.3857142857142856,0.15563079458596027
201,SELP,0.3607142857142856,0.18655437415416354
11,CCL1,0.34642857142857136,0.2058959920935512
177,MIF,0.34642857142857136,0.2058959920935512
81,FGF19,0.34642857142857136,0.2058959920935512
82,FGF2,0.3428571428571428,0.21092379341475206
72,CXCL2,0.33928571428571425,0.2160289253419548
131,IL1B,0.3321428571428571,0.2264717590707243
75,CXCL6,0.3285714285714285,0.23180969720615968
13,CCL13,0.3285714285714285,0.23180969720615968
113,IL12p70,0.3178571428571428,0.24829056581701822
60,CTF1,0.3071428571428571,0.2654726857102779
108,IKBKG,0.3,0.2773167803683839
94,GZMA,0.2928571428571428,0.289471667212401
193,PDGFA,0.2821428571428571,0.30828445682005556
182,MMP9,0.2714285714285714,0.3277893068411727
207,TGFB1,0.2714285714285714,0.3277893068411727
106,IFNL2; IFNL3,0.2642857142857143,0.3411737579900821
122,IL17B,0.2571428571428571,0.35486036365060913
151,IL4,0.2321428571428571,0.40509874069364893
196,S100A12,0.22499999999999998,0.420104686907635
6,BDNF,0.22142857142857136,0.42771371901637
47,CD93,0.22142857142857136,0.42771371901637
33,CCL8,0.21428571428571427,0.44314093482351424
229,TNFSF12,0.21428571428571427,0.44314093482351424
95,GZMB,0.21428571428571427,0.44314093482351424
67,CXCL11,0.21071428571428572,0.450957865215285
136,IL2,0.20357142857142854,0.46679507248911234
232,TNFSF15,0.1964285714285714,0.4828987562716336
43,CD46,0.1928571428571428,0.4910487016052232
236,TNFSF9,0.1928571428571428,0.4910487016052232
100,ICOSLG,0.18214285714285713,0.5158816817070392
234,TNFSF4,0.1607142857142857,0.5671967045803448
91,GDF2,0.1607142857142857,0.5671967045803448
181,MMP8,0.15714285714285714,0.5759526006037947
215,TNFRSF11B,0.15,0.5936302027425882
22,CCL22,0.14285714285714282,0.6115222287644655
105,IFNL1,0.13928571428571426,0.6205460876279014
44,CD70,0.13928571428571426,0.6205460876279014
188,NTF3,0.1357142857142857,0.6296204418728145
119,IL16,0.13214285714285715,0.6387442188840665
204,SPP1,0.12857142857142856,0.6479163294665075
178,MMP1,0.12857142857142856,0.6479163294665075
17,CCL17,0.11785714285714284,0.6757115292213043
65,CXCL1,0.11428571428571425,0.6850657626568972
28,CCL28,0.11071428571428568,0.6944626472070963
179,MMP12,0.10357142857142855,0.7133796306287292
143,IL2RB,0.10357142857142855,0.7133796306287292
4,ANXA1,0.09999999999999999,0.7228973252791182
30,CCL4,0.09999999999999999,0.7228973252791182
137,IL20,0.0964285714285714,0.7324528633867308
87,FLT4,0.09285714285714285,0.742045009907367
172,LTA,0.075,0.7905107941552679
242,VEGFD,0.075,0.7905107941552679
55,CSF2,0.07142857142857141,0.8002959873970544
211,TIMP2,0.07142857142857141,0.8002959873970544
233,TNFSF18,0.06785714285714285,0.8101088187105131
210,TIMP1,0.05714285714285713,0.8396998687415758
76,CXCL8,0.05714285714285713,0.8396998687415758
61,CTLA4,0.05357142857142857,0.8496099367776071
51,CNTF,0.05357142857142857,0.8496099367776071
83,FGF21,0.04285714285714285,0.8794603130258999
63,CX3CL1,0.04285714285714285,0.8794603130258999
26,CCL26,0.04285714285714285,0.8794603130258999
147,IL36A,0.039285714285714285,0.8894459296739485
38,CD276,0.035714285714285705,0.8994469934720875
127,IL18,0.03214285714285714,0.9094621170945906
32,CCL7,0.028571428571428564,0.9194899083821857
115,IL13,0.021428571428571425,0.9395779040128779
185,NAMPT,0.021428571428571425,0.9395779040128779
121,IL17A|IL17F,0.017857142857142853,0.9496353041738621
144,IL32,0.014285714285714282,0.9596997645989476
240,VEGFA,0.007142857142857141,0.9798442277615982
226,TNFRSF9,0.007142857142857141,0.9798442277615982
245,WNT16,0.0035714285714285704,0.9899214068809781
104,IFNG,0.0,1.0
70,CXCL14,0.0,1.0
149,IL36G,-0.007142857142857141,0.9798442277615982
200,SELE,-0.014285714285714282,0.9596997645989476
50,CLEC4A,-0.017857142857142853,0.9496353041738621
19,CCL2,-0.017857142857142853,0.9496353041738621
168,LCN2,-0.021428571428571425,0.9395779040128779
7,BMP7,-0.024999999999999998,0.9295289708192378
187,NGF,-0.024999999999999998,0.9295289708192378
224,TNFRSF4,-0.024999999999999998,0.9295289708192378
155,IL6,-0.035714285714285705,0.8994469934720875
120,IL17A,-0.04642857142857142,0.8694915255450946
218,TNFRSF14,-0.04642857142857142,0.8694915255450946
209,THPO,-0.05714285714285713,0.8396998687415758
98,HLA-DRA,-0.06071428571428571,0.8298120954425188
148,IL36B,-0.06071428571428571,0.8298120954425188
97,HGF,-0.06428571428571428,0.8199479653196377
216,TNFRSF13B,-0.06785714285714285,0.8101088187105131
35,CD200R1,-0.06785714285714285,0.8101088187105131
92,GFAP,-0.07142857142857141,0.8002959873970544
130,IL19,-0.07142857142857141,0.8002959873970544
39,CD3E,-0.075,0.7905107941552679
140,IL24,-0.07857142857142857,0.7807545523090466
238,TREM2,-0.0857142857142857,0.7613341261907667
27,CCL27,-0.0964285714285714,0.7324528633867308
175,MICA,-0.0964285714285714,0.7324528633867308
46,CD83,-0.10357142857142855,0.7133796306287292
20,CCL20,-0.10714285714285714,0.7039010016261615
62,CTSS,-0.10902595953155436,0.6989193575457076
173,LTA|LTB,-0.11071428571428568,0.6944626472070963
18,CCL19,-0.11071428571428568,0.6944626472070963
12,CCL11,-0.11428571428571425,0.6850657626568972
64,CXADR,-0.11428571428571425,0.6850657626568972
53,CSF1,-0.11428571428571425,0.6850657626568972
110,IL10RB,-0.12142857142857141,0.6664011137233894
164,KLRK1,-0.12857142857142856,0.6479163294665075
114,IL12RB1,-0.1357142857142857,0.6296204418728145
96,HAVCR1,-0.1357142857142857,0.6296204418728145
150,IL3RA,-0.1357142857142857,0.6296204418728145
45,CD80,-0.13928571428571426,0.6205460876279014
101,IFNA1; IFNA13,-0.13928571428571426,0.6205460876279014
49,CHI3L1,-0.14285714285714282,0.6115222287644655
142,IL2RA,-0.15,0.5936302027425882
132,IL1R1,-0.15357142857142855,0.5847640949410158
203,SLAMF1,-0.15714285714285714,0.5759526006037947
227,TNFSF10,-0.15714285714285714,0.5759526006037947
220,TNFRSF18,-0.1607142857142857,0.5671967045803448
170,LIF,-0.16785714285714282,0.5498555542278019
14,CCL14,-0.1714285714285714,0.5412721760996331
219,TNFRSF17,-0.175,0.5327481481378592
41,CD40,-0.175,0.5327481481378592
52,CRP,-0.17857142857142855,0.5242843600465525
206,TEK,-0.18214285714285713,0.5158816817070392
99,ICAM1,-0.18214285714285713,0.5158816817070392
225,TNFRSF8,-0.1857142857142857,0.5075409629336737
34,CD200,-0.1857142857142857,0.5075409629336737
102,IFNA2,-0.18928571428571428,0.49926303323854526
21,CCL21,-0.18928571428571428,0.49926303323854526
176,MICB,-0.19999999999999998,0.4748139645221684
3,ANGPT2,-0.20357142857142854,0.46679507248911234
213,TNF,-0.20357142857142854,0.46679507248911234
197,S100A9,-0.21071428571428572,0.450957865215285
171,LILRB2,-0.21071428571428572,0.450957865215285
162,KDR,-0.21428571428571427,0.44314093482351424
40,CD4,-0.21428571428571427,0.44314093482351424
152,IL4R,-0.2178571428571428,0.43539267351553756
29,CCL3,-0.22499999999999998,0.420104686907635
241,VEGFC,-0.2285714285714285,0.41256617049636035
141,IL27,-0.2285714285714285,0.41256617049636035
186,NCR1,-0.23928571428571427,0.39037931192023567
205,TAFA5,-0.24285714285714283,0.38312834183934175
214,TNFRSF11A,-0.24642857142857136,0.37595051597380524
237,TREM1,-0.24642857142857136,0.37595051597380524
166,LAG3,-0.25,0.36884629178393047
1,AGRP,-0.25,0.36884629178393047
156,IL6R,-0.25,0.36884629178393047
244,VSTM1,-0.25,0.36884629178393047
167,LAMP3,-0.25357142857142856,0.3618161038158896
146,IL34,-0.25357142857142856,0.3618161038158896
77,CXCL9,-0.2571428571428571,0.35486036365060913
243,VSNL1,-0.2607142857142857,0.34797945986279355
36,CD27,-0.2607142857142857,0.34797945986279355
89,FURIN,-0.2678571428571428,0.3344436005123538
191,PDCD1,-0.2714285714285714,0.3277893068411727
231,TNFSF14,-0.2714285714285714,0.3277893068411727
66,CXCL10,-0.2714285714285714,0.3277893068411727
133,IL1R2,-0.2785714285714285,0.3147094732307908
174,MERTK,-0.2785714285714285,0.3147094732307908
139,IL23,-0.2785714285714285,0.3147094732307908
160,IL9,-0.2821428571428571,0.30828445682005556
195,PTX3,-0.2821428571428571,0.30828445682005556
80,FASLG,-0.28571428571428564,0.3019363513225493
5,AREG,-0.28571428571428564,0.3019363513225493
25,CCL25,-0.2928571428571428,0.289471667212401
58,CSF3R,-0.2928571428571428,0.289471667212401
126,IL17RB,-0.2928571428571428,0.289471667212401
246,WNT7A,-0.2964285714285714,0.28335542843426287
85,FLT1,-0.2964285714285714,0.28335542843426287
93,GRN,-0.2964285714285714,0.28335542843426287
79,EPO,-0.3,0.2773167803683839
107,IFNW1,-0.3,0.2773167803683839
124,IL17F,-0.3,0.2773167803683839
129,IL18R1,-0.3071428571428571,0.2654726857102779
59,CST7,-0.3142857142857143,0.2539400163236714
192,PDCD1LG2,-0.3178571428571428,0.24829056581701822
208,THBS2,-0.3178571428571428,0.24829056581701822
184,MUC16,-0.3214285714285714,0.2427190468016683
90,GDF15,-0.3214285714285714,0.2427190468016683
198,SCG2,-0.3285714285714285,0.23180969720615968
56,CSF2RB,-0.33928571428571425,0.2160289253419548
228,TNFSF11,-0.35,0.2009453508162933
88,FTH1,-0.35,0.2009453508162933
217,TNFRSF13C,-0.35357142857142854,0.19607167843419876
23,CCL23,-0.3571428571428571,0.19127476343157904
109,IL10,-0.3571428571428571,0.19127476343157904
239,VCAM1,-0.3571428571428571,0.19127476343157904
118,IL15RA,-0.3607142857142856,0.18655437415416354
71,CXCL16,-0.3607142857142856,0.18655437415416354
48,CEACAM5,-0.36785714285714277,0.1773421468934914
165,KNG1,-0.37499999999999994,0.16843274984674558
235,TNFSF8,-0.37499999999999994,0.16843274984674558
125,IL17RA,-0.37499999999999994,0.16843274984674558
9,C1QA,-0.37857142857142856,0.1640908265592207
221,TNFRSF1A,-0.3857142857142856,0.15563079458596027
111,IL11,-0.3928571428571428,0.1474666553113263
157,IL6ST,-0.3928571428571428,0.1474666553113263
183,MPO,-0.39642857142857135,0.1434945314423536
8,BST2,-0.39642857142857135,0.1434945314423536
145,IL33,-0.39999999999999997,0.13959512937214466
154,IL5RA,-0.39999999999999997,0.13959512937214466
128,IL18BP,-0.4142857142857142,0.12471544223657098
202,SIRPA,-0.4142857142857142,0.12471544223657098
54,CSF1R,-0.4142857142857142,0.12471544223657098
190,OSMR,-0.4142857142857142,0.12471544223657098
16,CCL16,-0.41785714285714276,0.12117253602187843
69,CXCL13,-0.4357142857142856,0.10449335704406641
163,KITLG,-0.4357142857142856,0.10449335704406641
169,LGALS9,-0.4392857142857142,0.10136057119347248
15,CCL15,-0.4392857142857142,0.10136057119347248
222,TNFRSF1B,-0.4464285714285714,0.09529321315352621
24,CCL24,-0.4464285714285714,0.09529321315352621
116,IL13RA2,-0.457142857142857,0.08667812662416982
212,TLR3,-0.46071428571428563,0.08393338135031411
135,IL1RN,-0.48214285714285704,0.06874953772064366
123,IL17C,-0.48571428571428565,0.06642631232518958
68,CXCL12,-0.4892857142857142,0.06416038631454055
159,IL7R,-0.5071428571428571,0.05366366378080588
153,IL5,-0.5178571428571428,0.04800407736655833
180,MMP3,-0.532142857142857,0.041158580386934415
199,SDC1,-0.5535714285714285,0.03228710377012365
138,IL22,-0.5607142857142856,0.029676496094474678
10,CALCA,-0.5642857142857142,0.028432522148708533
223,TNFRSF21,-0.5678571428571427,0.02722835670886186
134,IL1RL1,-0.5821428571428571,0.022793687126414264
37,CD274,-0.5892857142857142,0.020794358483161635
117,IL15,-0.6178571428571428,0.014103928406489474
57,CSF3,-0.6357142857142856,0.0108607461687898
