,Feature,Correlation,P-value
155,IL6,0.732892030643049,0.001239330625803698
66,CXCL10,0.7255336769217332,0.0014669215838751383
209,THPO,0.6740252008725229,0.004194207018805517
230,TNFSF13,0.6666668471512072,0.004795903546578493
187,NGF,0.5739515902626287,0.020078215768929094
59,CST7,0.5695365780298393,0.02128248272085756
6,BDNF,0.566593236541313,0.02211578320871191
72,CXCL2,0.5651215657970499,0.022541750512516234
42,CD40LG,0.5504048583544183,0.02715751698379886
193,PDGFA,0.5445181753773658,0.029193684529437103
240,VEGFA,0.5047830652822607,0.04613120981701358
201,SELP,0.5033113945379976,0.046874705267935905
2,ANGPT1,0.5033113945379976,0.046874705267935905
17,CCL17,0.4827080041183134,0.05824670548941
122,IL17B,0.4797646626297871,0.0600236112823253
229,TNFSF12,0.47240630890847124,0.06463994323054133
67,CXCL11,0.4665196259314187,0.06851599666117661
86,FLT3LG,0.4606329429543661,0.07255880055621565
210,TIMP1,0.4576896014658398,0.07464389856838684
194,PDGFB,0.4518029184887872,0.0789437820134384
125,IL17RA,0.45033124774452404,0.08004610163255983
246,WNT7A,0.4415012232789452,0.08689404171336476
238,TREM2,0.4370862110461557,0.09047091616040952
33,CCL8,0.42678451583631366,0.09922332767953337
77,CXCL9,0.4238411743477874,0.10183037514430386
78,EGF,0.4238411743477874,0.10183037514430386
179,MMP12,0.4194261621149979,0.10583108901536357
241,VEGFC,0.4120678083936822,0.1127425708246401
97,HGF,0.40765279616089267,0.11703771694686249
207,TGFB1,0.40470945467236635,0.11996368646322478
135,IL1RN,0.40470945467236635,0.11996368646322478
54,CSF1R,0.4032377839281032,0.12144556683501988
243,VSNL1,0.39882277169531377,0.12596731375787312
73,CXCL3,0.39735110095105064,0.12750007392964635
13,CCL13,0.3958794302067875,0.12904565978448032
26,CCL26,0.3958794302067875,0.12904565978448032
212,TLR3,0.39146441797399806,0.13375978205720895
82,FGF2,0.38852107648547174,0.1369674025967696
153,IL5,0.38704940574120855,0.13859079240795777
92,GFAP,0.38116272276415597,0.1452157678027106
165,KNG1,0.38116272276415597,0.1452157678027106
102,IFNA2,0.37821938127562965,0.14860761980256862
50,CLEC4A,0.3664460153215245,0.16271059713599237
71,CXCL16,0.35320097862315614,0.17961592072043112
74,CXCL5,0.3487859663903667,0.18549897878908947
138,IL22,0.34584262490184037,0.18949046775867934
28,CCL28,0.332597588203472,0.20814456133640422
185,NAMPT,0.332597588203472,0.20814456133640422
62,CTSS,0.32915209824825764,0.21318391074919943
231,TNFSF14,0.3267109052264194,0.21680128189015752
202,SIRPA,0.32229589299362993,0.22344246714403135
227,TNFSF10,0.31788088076084053,0.23021140881741156
8,BST2,0.31052252703952476,0.24177753288021345
19,CCL2,0.3002208318296827,0.2585688524343966
127,IL18,0.29874916108541955,0.26102468237833837
158,IL7,0.2958058195968932,0.2659791437914059
49,CHI3L1,0.2913908073641038,0.27351780164381545
52,CRP,0.2869757951313143,0.2811847165470148
75,CXCL6,0.2855041243870512,0.2837688286233547
32,CCL7,0.28403245364278806,0.28636716511322435
103,IFNB1,0.2781457706657355,0.2969025709419665
131,IL1B,0.2722590876886829,0.30766473767535074
228,TNFSF11,0.2722590876886829,0.30766473767535074
141,IL27,0.2707874169444197,0.3103906126453606
27,CCL27,0.25754238024605136,0.33555600354508874
177,MIF,0.25459903875752504,0.3413020602524982
65,CXCL1,0.2531273680132619,0.34419592060816473
20,CCL20,0.23841066057063037,0.37389202799249144
178,MMP1,0.22516562387226202,0.4017784820132828
108,IKBKG,0.22369395312799886,0.4049436432683511
171,LILRB2,0.22222228238373573,0.40812199434638363
200,SELE,0.21780727015094628,0.4177357681071876
31,CCL5,0.21339225791815683,0.4274667115459949
95,GZMB,0.2119205871738937,0.4307361874085339
76,CXCL8,0.2119205871738937,0.4307361874085339
204,SPP1,0.2060339041968411,0.44394197686911996
170,LIF,0.2016188919640516,0.4539792236839837
161,IRAK4,0.2016188919640516,0.4539792236839837
83,FGF21,0.19720387973126216,0.4641288525870626
60,CTF1,0.19131719675420955,0.4778339954856994
133,IL1R2,0.1898455260099464,0.48129067733031194
30,CCL4,0.18543051377715697,0.4917327471086168
117,IL15,0.17954383080010436,0.5058213200792159
5,AREG,0.17512881856731494,0.5165099373439108
182,MMP9,0.166298794101736,0.5381937741142251
39,CD3E,0.16482712335747288,0.5418467058390635
163,KITLG,0.15746876963615708,0.5602741356882956
235,TNFSF8,0.15746876963615708,0.5602741356882956
152,IL4R,0.15599709889189395,0.5639916710735264
159,IL7R,0.1545254281476308,0.567719718223305
89,FURIN,0.1456954036820519,0.5903045164330336
88,FTH1,0.1456954036820519,0.5903045164330336
156,IL6R,0.1456954036820519,0.5903045164330336
94,GZMA,0.1427520621935256,0.5979134125091117
119,IL16,0.1427520621935256,0.5979134125091117
100,ICOSLG,0.13833704996073615,0.6094001732546548
124,IL17F,0.12656368400663096,0.6404466196034337
64,CXADR,0.1250920132623678,0.6443683646471695
29,CCL3,0.12067700102957835,0.656186116862598
214,TNFRSF11A,0.1162619887967889,0.6680807907616779
43,CD46,0.11331864730826259,0.6760521143157763
188,NTF3,0.11331864730826259,0.6760521143157763
57,CSF3,0.10890363507547314,0.6880695920991755
208,THBS2,0.10890363507547314,0.6880695920991755
24,CCL24,0.10743196433120998,0.6920911809221946
58,CSF3R,0.10301695209842054,0.704201930804693
7,BMP7,0.10154528135415737,0.7082538611924278
148,IL36B,0.09565859837710478,0.7245341106311589
48,CEACAM5,0.09271525688857848,0.732716401893539
222,TNFRSF1B,0.09124358614431533,0.7368177484621781
69,CXCL13,0.08830024465578903,0.7450403518336162
55,CSF2,0.08830024465578903,0.7450403518336162
244,VSTM1,0.08682857391152587,0.7491614107021848
169,LGALS9,0.08535690316726273,0.7532888417075289
68,CXCL12,0.08388523242299958,0.7574225448483594
116,IL13RA2,0.08241356167873644,0.7615624197209059
192,PDCD1LG2,0.07947022019021013,0.7698602810713127
91,GDF2,0.07799854944594697,0.774018064785827
114,IL12RB1,0.06916852498036807,0.7990822637780812
215,TNFRSF11B,0.06769685423610493,0.8032782497407666
9,C1QA,0.06475351274757862,0.8116852445615588
213,TNF,0.06181017125905232,0.8201115700901211
232,TNFSF15,0.05739515902626287,0.8327854556156655
144,IL32,0.05445181753773657,0.8412564044642662
198,SCG2,0.05150847604921027,0.8497437091571381
221,TNFRSF1A,0.05150847604921027,0.8497437091571381
168,LCN2,0.05150847604921027,0.8497437091571381
174,MERTK,0.047093463816420815,0.8625034513002978
160,IL9,0.04562179307215766,0.8667639425202294
129,IL18R1,0.04415012232789452,0.8710278748904619
157,IL6ST,0.04415012232789452,0.8710278748904619
181,MMP8,0.04120678083936822,0.8795656276665221
245,WNT16,0.038263439350841914,0.8881158366818847
196,S100A12,0.025018402652473556,0.926722363011618
18,CCL19,0.025018402652473556,0.926722363011618
175,MICA,0.023546731908210407,0.9310229589329733
197,S100A9,0.023546731908210407,0.9310229589329733
217,TNFRSF13C,0.02060339041968411,0.9396294086034467
51,CNTF,0.017660048931157808,0.9482421262197389
195,PTX3,0.002943341488526301,0.9913684557173232
140,IL24,0.002943341488526301,0.9913684557173232
134,IL1RL1,0.0,1.0
37,CD274,0.0,1.0
150,IL3RA,0.0,1.0
145,IL33,-0.002943341488526301,0.9913684557173232
107,IFNW1,-0.004415012232789452,0.9870529639838932
16,CCL16,-0.005886682977052602,0.9827378087195482
90,GDF15,-0.013245036698368356,0.9611710025435432
223,TNFRSF21,-0.014716707442631503,0.9568602193882964
63,CX3CL1,-0.016188378186894656,0.9525505566918416
166,LAG3,-0.016188378186894656,0.9525505566918416
111,IL11,-0.017660048931157808,0.9482421262197389
146,IL34,-0.02060339041968411,0.9396294086034467
226,TNFRSF9,-0.02060339041968411,0.9396294086034467
96,HAVCR1,-0.02207506116394726,0.9353253445612628
21,CCL21,-0.025018402652473556,0.926722363011618
105,IFNL1,-0.026490073396736712,0.9224236679740601
56,CSF2RB,-0.03090508562952616,0.9095400980389841
173,LTA|LTB,-0.03090508562952616,0.9095400980389841
189,OSM,-0.033848427118052464,0.9009625881945321
22,CCL22,-0.035320097862315616,0.896677625761926
199,SDC1,-0.038263439350841914,0.8881158366818847
10,CALCA,-0.038263439350841914,0.8881158366818847
237,TREM1,-0.03973511009510507,0.8838392298321894
206,TEK,-0.042678451583631365,0.8752951396111206
149,IL36G,-0.04415012232789452,0.8710278748904619
101,IFNA1; IFNA13,-0.047093463816420815,0.8625034513002978
87,FLT4,-0.05150847604921027,0.8497437091571381
121,IL17A|IL17F,-0.05150847604921027,0.8497437091571381
154,IL5RA,-0.052980146793473425,0.8454980659765218
184,MUC16,-0.052980146793473425,0.8454980659765218
4,ANXA1,-0.06328184200331548,0.8158960436310546
123,IL17C,-0.06622518349184178,0.8074792782469515
151,IL4,-0.06622518349184178,0.8074792782469515
109,IL10,-0.07358353721315752,0.7865256035856114
218,TNFRSF14,-0.07652687870168383,0.7781816147180738
41,CD40,-0.07652687870168383,0.7781816147180738
99,ICAM1,-0.08094189093447328,0.7657083655251865
85,FLT1,-0.08535690316726273,0.7532888417075289
190,OSMR,-0.09565859837710478,0.7245341106311589
224,TNFRSF4,-0.09860193986563108,0.7163796723063032
98,HLA-DRA,-0.09860193986563108,0.7163796723063032
81,FGF19,-0.10448862284268369,0.7001574442467614
183,MPO,-0.1103753058197363,0.6840558229817622
162,KDR,-0.11184697656399943,0.6800499663087919
180,MMP3,-0.11920533028531519,0.6601425799266655
61,CTLA4,-0.1250920132623678,0.6443683646471695
234,TNFSF4,-0.12656368400663096,0.6404466196034337
120,IL17A,-0.12950702549515725,0.6326299103072028
211,TIMP2,-0.12950702549515725,0.6326299103072028
104,IFNG,-0.13539370847220986,0.6171060124884012
45,CD80,-0.13686537921647302,0.61324834764271
191,PDCD1,-0.13686537921647302,0.61324834764271
12,CCL11,-0.13833704996073615,0.6094001732546548
126,IL17RB,-0.13833704996073615,0.6094001732546548
25,CCL25,-0.13833704996073615,0.6094001732546548
172,LTA,-0.14128039144926247,0.6017326243235575
142,IL2RA,-0.14128039144926247,0.6017326243235575
205,TAFA5,-0.1427520621935256,0.5979134125091117
113,IL12p70,-0.1456954036820519,0.5903045164330336
35,CD200R1,-0.1456954036820519,0.5903045164330336
38,CD276,-0.14716707442631505,0.5865149912241784
220,TNFRSF18,-0.15305375740336766,0.5714582023783741
110,IL10RB,-0.15746876963615708,0.5602741356882956
233,TNFSF18,-0.15746876963615708,0.5602741356882956
139,IL23,-0.16188378186894656,0.5491853378865109
1,AGRP,-0.166298794101736,0.5381937741142251
46,CD83,-0.16924213559026233,0.5309210297729403
236,TNFSF9,-0.16924213559026233,0.5309210297729403
118,IL15RA,-0.17512881856731494,0.5165099373439108
79,EPO,-0.17512881856731494,0.5165099373439108
53,CSF1,-0.17660048931157807,0.5129355553660633
115,IL13,-0.17807216005584123,0.5093726614235989
80,FASLG,-0.17954383080010436,0.5058213200792159
70,CXCL14,-0.19131719675420955,0.4778339954856994
242,VEGFD,-0.2016188919640516,0.4539792236839837
