,Feature,Correlation,P-value
198,SCG2,0.5121414190035763,0.04254510123446123
38,CD276,0.40470945467236635,0.11996368646322478
59,CST7,0.39882277169531377,0.12596731375787312
22,CCL22,0.35467264936741927,0.17768258793822786
156,IL6R,0.3267109052264194,0.21680128189015752
152,IL4R,0.31346586852805103,0.2371083564731002
147,IL36A,0.3046358440624721,0.25128697579494985
43,CD46,0.29874916108541955,0.26102468237833837
133,IL1R2,0.2869757951313143,0.2811847165470148
3,ANGPT2,0.2869757951313143,0.2811847165470148
238,TREM2,0.28108911215426174,0.291606476021242
131,IL1B,0.2707874169444197,0.3103906126453606
202,SIRPA,0.2678440754558934,0.3158846559963727
138,IL22,0.26490073396736713,0.32143497739966814
192,PDCD1LG2,0.2560707095017882,0.33842207982246275
180,MMP3,0.2560707095017882,0.33842207982246275
222,TNFRSF1B,0.2487123557804724,0.35296052716638093
77,CXCL9,0.24282567280341982,0.3648393808414766
50,CLEC4A,0.23841066057063037,0.37389202799249144
208,THBS2,0.23693898982636719,0.37693674370191377
99,ICAM1,0.23693898982636719,0.37693674370191377
79,EPO,0.23399564833784092,0.38306672435359523
110,IL10RB,0.21633559940668315,0.42096645620030626
193,PDGFA,0.21339225791815683,0.4274667115459949
48,CEACAM5,0.21339225791815683,0.4274667115459949
240,VEGFA,0.20897724568536738,0.43731360129472274
8,BST2,0.20750557494110425,0.44062144334085274
58,CSF3R,0.2060339041968411,0.44394197686911996
71,CXCL16,0.2016188919640516,0.4539792236839837
160,IL9,0.19720387973126216,0.4641288525870626
232,TNFSF15,0.19426053824273587,0.4709569935368584
170,LIF,0.19131719675420955,0.4778339954856994
205,TAFA5,0.1898455260099464,0.48129067733031194
174,MERTK,0.18837385526568326,0.48475940254934036
65,CXCL1,0.18543051377715697,0.4917327471086168
182,MMP9,0.18248717228863065,0.49875354989484955
187,NGF,0.17954383080010436,0.5058213200792159
175,MICA,0.17660048931157807,0.5129355553660633
230,TNFSF13,0.17512881856731494,0.5165099373439108
221,TNFRSF1A,0.17512881856731494,0.5165099373439108
168,LCN2,0.17071380633452546,0.5273013553176611
245,WNT16,0.17071380633452546,0.5273013553176611
237,TREM1,0.16777046484599917,0.5345518589513365
220,TNFRSF18,0.166298794101736,0.5381937741142251
66,CXCL10,0.1604121111246834,0.5528708959771769
212,TLR3,0.15894044038042027,0.5565671861734053
215,TNFRSF11B,0.15746876963615708,0.5602741356882956
6,BDNF,0.15746876963615708,0.5602741356882956
64,CXADR,0.15746876963615708,0.5602741356882956
44,CD70,0.15599709889189395,0.5639916710735264
46,CD83,0.15599709889189395,0.5639916710735264
139,IL23,0.1545254281476308,0.567719718223305
81,FGF19,0.1486387451705782,0.5827355195664735
117,IL15,0.1486387451705782,0.5827355195664735
244,VSTM1,0.1456954036820519,0.5903045164330336
16,CCL16,0.1456954036820519,0.5903045164330336
196,S100A12,0.1427520621935256,0.5979134125091117
125,IL17RA,0.14128039144926247,0.6017326243235575
200,SELE,0.1309786962394204,0.6287351181706241
167,LAMP3,0.1280353547508941,0.6365337727096072
157,IL6ST,0.12656368400663096,0.6404466196034337
54,CSF1R,0.1250920132623678,0.6443683646471695
189,OSM,0.12362034251810464,0.648298920937249
4,ANXA1,0.12067700102957835,0.656186116862598
34,CD200,0.12067700102957835,0.656186116862598
49,CHI3L1,0.1162619887967889,0.6680807907616779
236,TNFSF9,0.11479031805252574,0.6720623587293355
132,IL1R1,0.11184697656399943,0.6800499663087919
52,CRP,0.11184697656399943,0.6800499663087919
204,SPP1,0.11184697656399943,0.6800499663087919
32,CCL7,0.1103753058197363,0.6840558229817622
47,CD93,0.10743196433120998,0.6920911809221946
