,Feature,Correlation,P-value
108,IKBKG,0.7970588235294117,0.00021809806990574765
42,CD40LG,0.6441176470588235,0.007081524086582877
72,CXCL2,0.6411764705882352,0.007434419082533942
194,PDGFB,0.6352941176470589,0.00818206461633401
13,CCL13,0.6323529411764706,0.008577584103099355
82,FGF2,0.6294117647058822,0.008988089264446917
231,TNFSF14,0.6176470588235293,0.010787984601948835
78,EGF,0.6176470588235293,0.010787984601948835
67,CXCL11,0.6176470588235293,0.010787984601948835
127,IL18,0.6088235294117647,0.012315203198246456
26,CCL26,0.6,0.014007122329599993
17,CCL17,0.5823529411764706,0.017932734131035355
76,CXCL8,0.5647058823529412,0.02266320484418464
86,FLT3LG,0.5588235294117647,0.02443651142450573
230,TNFSF13,0.5588235294117647,0.02443651142450573
74,CXCL5,0.5588235294117647,0.02443651142450573
2,ANGPT1,0.55,0.027293972709730593
52,CRP,0.5470588235294118,0.028301087242108842
6,BDNF,0.5411764705882353,0.03040021888817021
161,IRAK4,0.5411764705882353,0.03040021888817021
60,CTF1,0.5264705882352941,0.036166514972245475
73,CXCL3,0.5176470588235293,0.04000179295956069
177,MIF,0.5088235294117647,0.04413521823498383
178,MMP1,0.5088235294117647,0.04413521823498383
201,SELP,0.4941176470588235,0.051723442249235474
155,IL6,0.4852941176470588,0.05671771428191195
151,IL4,0.4852941176470588,0.05671771428191195
209,THPO,0.4794117647058824,0.06023930250431595
75,CXCL6,0.4705882352941176,0.06581947250108118
185,NAMPT,0.45294117647058824,0.07809874141672511
207,TGFB1,0.4382352941176471,0.08953003199187995
28,CCL28,0.43529411764705883,0.09195235850572929
158,IL7,0.39999999999999997,0.12475042359840012
119,IL16,0.3941176470588235,0.13091285429899105
229,TNFSF12,0.37058823529411766,0.15765046473782054
33,CCL8,0.3558823529411765,0.1761037380915931
210,TIMP1,0.3558823529411765,0.1761037380915931
31,CCL5,0.3382352941176471,0.2000655587786896
148,IL36B,0.3323529411764706,0.2084998279822084
193,PDGFA,0.3294117647058824,0.2128014262162131
122,IL17B,0.31764705882352945,0.23057346362184541
243,VSNL1,0.31176470588235294,0.23980004767411284
97,HGF,0.31176470588235294,0.23980004767411284
65,CXCL1,0.3058823529411765,0.24925429892891857
179,MMP12,0.29705882352941176,0.2638630146135225
