,FlowSOM_metacluster_ 1,FlowSOM_metacluster_ 2,FlowSOM_metacluster_ 3,FlowSOM_metacluster_ 4,FlowSOM_metacluster_ 5,FlowSOM_metacluster_ 6,FlowSOM_metacluster_ 7,FlowSOM_metacluster_ 8,FlowSOM_metacluster_ 9,FlowSOM_metacluster_ 10,FlowSOM_metacluster_ 11,FlowSOM_metacluster_ 12,FlowSOM_metacluster_ 13,FlowSOM_metacluster_ 14,FlowSOM_metacluster_ 15,FlowSOM_metacluster_ 16,FlowSOM_metacluster_ 17,FlowSOM_metacluster_ 18,FlowSOM_metacluster_ 19,FlowSOM_metacluster_ 20,FlowSOM_metacluster_ 21,FlowSOM_metacluster_ 22,FlowSOM_metacluster_ 23,FlowSOM_metacluster_ 24,FlowSOM_metacluster_ 25,FlowSOM_metacluster_ 26,FlowSOM_metacluster_ 27,FlowSOM_metacluster_ 28,FlowSOM_metacluster_ 29,FlowSOM_metacluster_ 30,FlowSOM_metacluster_ 31,FlowSOM_metacluster_ 32,FlowSOM_metacluster_ 33,FlowSOM_metacluster_ 34,FlowSOM_metacluster_ 35,FlowSOM_metacluster_ 36,FlowSOM_metacluster_ 37,FlowSOM_metacluster_ 38,FlowSOM_metacluster_ 39,FlowSOM_metacluster_ 40,Patient_ID,time
0,112,125,201,16,9,555,5,213,979,103,337,250,2,40,109,10,0,141,362,20,155,1031,70,600,1035,310,267,179,1725,765,591,770,186,309,615,19,86,171,489,19,P08,C1_D8
1,21,41,32,0,2,56,0,18,142,12,36,87,1,11,17,0,0,69,132,3,24,84,16,71,151,141,114,29,242,320,248,166,87,71,256,9,24,24,253,3,P08,C7_D1
2,12,16,20,1,2,23,0,20,73,10,54,49,0,7,11,3,0,21,19,1,12,66,6,63,68,15,26,28,115,52,151,117,17,58,142,4,2,20,26,3,P08,C7_D22
3,25,24,35,3,3,60,0,27,142,11,43,77,2,7,12,0,0,22,16,12,14,93,3,90,189,16,27,45,267,40,190,183,8,69,183,6,6,12,19,2,P08,SPD
4,1,3,37,242,2168,970,178,23,520,14,285,3,0,14,19,13,0,13,26,16,1118,24,2,128,36,8,609,179,208,128,676,521,105,201,324,44,162,163,415,13,P24,C1_D1
5,25,48,428,1,44,62,0,191,6358,158,1928,48,7,101,125,915,0,40,28,18,2502,43,8,1789,28,58,1565,1431,2191,903,3204,2258,367,255,2152,32,733,633,691,42,P24,C1_D8
6,47,102,570,4,77,142,0,196,8816,237,2645,105,9,258,170,1086,0,115,123,27,5989,79,11,2661,130,197,5488,3272,2922,1841,8462,4192,852,444,4124,169,1479,550,1809,27,P24,C7_D1
7,2,0,4,4,9,9,4,17,9,4,46,29,2,5,0,0,0,0,9,0,22,0,2,10,1,3,35,13,5,25,33,45,2,44,20,2,9,21,30,2,P19,C1_D1
8,190,176,378,3,1,26,3,1043,883,149,1608,1615,6,227,108,39,0,173,34,9,685,63,12,1063,22,166,577,704,466,473,1758,2340,20,221,353,20,144,640,249,45,P19,C1_D8
9,413,290,914,4,0,13,2,2068,1887,230,2572,3076,12,448,167,46,0,214,33,9,1359,92,11,2087,30,148,651,1530,772,312,3668,4494,22,294,635,15,178,644,173,41,P19,C7_D1
10,1774,1389,3775,22,2,62,20,8260,9102,1111,12350,12421,27,2017,776,224,0,1207,118,43,6491,393,25,10217,149,543,2740,7462,4203,1192,19238,21128,141,1465,3351,141,948,3570,621,266,P19,C7_D22
11,185,318,477,1588,1701,703,288,297,527,72,507,172,47,509,220,7,0,136,3467,142,555,102,498,203,79,4379,1027,178,175,1634,306,492,263,177,413,43,33,86,1089,25,P12,C1_D1
12,8067,9210,28439,80,59,126,4,8321,26069,2083,6733,1621,181,3988,2686,473,0,533,2532,97,8024,1283,358,6198,452,7202,2253,3016,4972,2319,2700,3700,242,493,1743,81,184,1381,715,543,P12,C1_D8
13,3133,3704,8681,20,12,49,1,3887,7281,669,2699,952,97,1678,1245,90,0,321,823,36,2586,410,229,2577,230,3266,873,1150,2028,782,1619,1660,106,236,968,63,160,1044,264,474,P12,C12_D29
14,7577,9564,30191,106,137,108,5,8182,25196,1611,7271,2334,165,5425,5155,479,0,640,1538,161,10157,800,314,6229,411,7282,2230,3864,4833,1116,4346,4828,121,498,1313,92,163,955,311,357,P12,C7_D22
15,206,98,439,1443,1083,1267,301,83,396,34,226,51,10,67,122,10,0,770,235,56,234,74,65,80,37,326,283,136,443,164,323,172,143,130,814,58,50,69,172,26,P04,C1_D1
16,2114,571,5710,45,28,58,8,647,3457,163,697,135,14,356,423,58,0,1007,172,4,667,202,52,657,27,677,415,324,3291,397,1127,500,124,119,2481,17,185,159,227,70,P04,C1_D8
17,1300,585,3620,5,6,6,2,605,2035,143,658,157,21,279,231,24,0,1194,153,4,379,155,47,691,35,624,397,305,2235,328,1340,479,120,255,6852,44,494,156,179,56,P04,C12_D29
18,2420,1084,7450,31,27,37,13,944,4060,248,1065,223,35,573,494,76,0,1479,267,9,790,237,87,937,40,1398,817,548,3977,633,2445,771,342,384,7489,35,512,256,344,75,P04,C7_D22
19,281,35,178,2509,733,1751,1378,305,128,53,1128,156,6,9,183,3,0,216,60,646,304,76,28,111,17,143,284,80,103,612,1767,813,302,1003,1870,211,251,144,390,35,P03,C1_D1
20,850,82,1366,15,4,12,2,354,608,112,634,94,12,30,246,107,0,393,70,70,245,30,28,273,10,164,323,161,414,668,1406,547,261,301,1402,23,86,37,430,12,P03,C1_D8
21,338,61,427,7,2,3,2,101,157,40,232,58,8,16,73,20,0,481,79,17,115,15,34,121,12,152,180,68,114,584,707,228,185,198,1070,21,51,24,414,6,P03,C12_D29
22,593,76,1104,16,7,19,1,195,389,55,298,58,6,31,156,70,0,235,63,61,128,23,31,138,4,147,160,71,224,430,712,254,109,125,652,13,40,29,200,26,P03,C7_D1
23,1836,194,2470,33,9,53,5,720,1049,244,1216,277,24,112,555,195,0,953,251,140,475,60,140,464,27,527,611,320,752,1835,2925,1114,496,712,3035,61,158,133,1174,83,P03,C7_D22
24,3,20,24,316,112,65,20,9,15,2,9,11,0,1,15,0,0,97,1,52,24,3,3,4,6,12,14,14,7,7,64,32,7,29,78,32,7,6,12,1,P27,C1_D1
