,FlowSOM_metacluster_V1,FlowSOM_metacluster_1,FlowSOM_metacluster_10,FlowSOM_metacluster_11,FlowSOM_metacluster_12,FlowSOM_metacluster_13,FlowSOM_metacluster_14,FlowSOM_metacluster_15,FlowSOM_metacluster_16,FlowSOM_metacluster_17,FlowSOM_metacluster_18,FlowSOM_metacluster_19,FlowSOM_metacluster_2,FlowSOM_metacluster_20,FlowSOM_metacluster_21,FlowSOM_metacluster_22,FlowSOM_metacluster_23,FlowSOM_metacluster_24,FlowSOM_metacluster_25,FlowSOM_metacluster_26,FlowSOM_metacluster_27,FlowSOM_metacluster_28,FlowSOM_metacluster_29,FlowSOM_metacluster_3,FlowSOM_metacluster_30,FlowSOM_metacluster_31,FlowSOM_metacluster_32,FlowSOM_metacluster_33,FlowSOM_metacluster_34,FlowSOM_metacluster_35,FlowSOM_metacluster_36,FlowSOM_metacluster_37,FlowSOM_metacluster_38,FlowSOM_metacluster_39,FlowSOM_metacluster_4,FlowSOM_metacluster_40,FlowSOM_metacluster_5,FlowSOM_metacluster_6,FlowSOM_metacluster_7,FlowSOM_metacluster_8,FlowSOM_metacluster_9
0,P08_C1_D8_T_Cell_Panel,0,7662,993,2832,474,754,12,74,270,697,1494,9725,409,320,207,843,385,6704,654,134,7331,449,29051,709,307,285,5123,3425,70,282,39,296,3235,3511,186,376,2504,904,385,283
1,P08_C7_D1_T_Cell_Panel,0,3073,106,1145,155,329,3,15,56,282,471,1285,192,102,29,111,41,866,191,49,878,53,5517,110,34,35,826,762,10,42,3,26,457,528,20,133,444,261,58,137
2,P08_C7_D22_T_Cell_Panel,0,3915,3,506,412,31,1,0,2,57,224,59,249,65,19,114,87,493,78,18,806,48,839,66,21,49,550,375,6,35,9,16,309,270,17,34,21,10,2,13
3,P08_SPD_T_Cell_Panel,0,4298,7,485,378,50,2,1,1,66,265,215,457,52,26,134,21,977,118,56,928,48,1400,118,37,39,936,758,9,16,5,27,443,563,17,35,33,19,4,29
4,P24_C1_D1_T_Cell_Panel,0,6951,10,2831,565,84,43,0,2,43,1402,2171,195,185,38,1298,40,3173,46,77,138,336,5246,100,0,1096,4,51,5,241,3928,3298,273,220,192,63,803,57,73,10
5,P24_C1_D8_T_Cell_Panel,0,29740,237,9940,1449,191,12,17,27,112,3982,893,1605,215,429,667,495,17714,242,238,3504,5963,13258,419,9,364,1966,834,264,677,401,72,931,775,55,480,709,187,267,69
6,P24_C7_D1_T_Cell_Panel,0,40688,543,24063,1600,730,23,68,139,315,8913,2000,1415,651,656,656,284,27464,560,979,2286,9036,38077,600,11,679,2634,1031,359,665,523,143,1376,1988,52,1325,2673,420,652,230
7,P19_C1_D1_T_Cell_Panel,1106,174,0,499,18,89,6,3,1,29,221,46992,10,52,9,42,3,96,51,27,28,10,12516,15,1,19,7,3,3,42,43,30,68,129,13,33,41413,93,1060,11
8,P19_C1_D8_T_Cell_Panel,0,1963,2035,3450,215,269,137,66,360,557,4182,61559,1145,605,1749,108,480,5228,2487,288,2568,107,92356,1092,100,346,2628,719,863,848,31,66,1128,3184,12,4162,118447,1675,2229,302
9,P19_C7_D1_T_Cell_Panel,0,3332,230,5422,155,212,2,159,215,760,6701,94,159,413,1175,51,231,10237,4962,97,2015,89,2835,2413,234,318,2749,469,40,820,55,39,2151,1561,19,203,136,302,15,102
