"","V1","V2","V3"
"2","TAR1","Satellite","telo"
"3","L1MC5a","LINE","L1"
"5","MIR3","SINE","MIR"
"8","L2a","LINE","L2"
"9","L3","LINE","CR1"
"12","MIR","SINE","MIR"
"13","L2b","LINE","L2"
"15","L2c","LINE","L2"
"16","AluSp","SINE","Alu"
"18","MIRb","SINE","MIR"
"20","L1MB3","LINE","L1"
"21","MER53","DNA","hAT"
"22","MLT1A","LTR","ERVL-MaLR"
"24","MIRc","SINE","MIR"
"25","AluJo","SINE","Alu"
"27","Alu","SINE","Alu"
"28","L1PA6","LINE","L1"
"29","L1P1","LINE","L1"
"30","MLT1J2","LTR","ERVL-MaLR"
"31","AluJr","SINE","Alu"
"32","Charlie5","DNA","hAT-Charlie"
"35","AluSx","SINE","Alu"
"36","AluSz6","SINE","Alu"
"37","LTR16C","LTR","ERVL"
"40","L1MA8","LINE","L1"
"42","L1M5","LINE","L1"
"43","L1MA9","LINE","L1"
"45","MER45A","DNA","hAT-Tip100"
"54","L2","LINE","L2"
"57","MER47A","DNA","TcMar-Tigger"
"58","L1ME4c","LINE","L1"
"61","L1PA4","LINE","L1"
"66","L1PA7","LINE","L1"
"67","L1PA16","LINE","L1"
"68","L1PA2","LINE","L1"
"69","AluSz","SINE","Alu"
"70","L1M2","LINE","L1"
"71","L1PREC2","LINE","L1"
"72","L1PB","LINE","L1"
"73","Tigger5b","DNA","TcMar-Tigger"
"74","AluSc5","SINE","Alu"
"76","L1M4","LINE","L1"
"78","HAL1M8","LINE","L1"
"80","MLT1H2","LTR","ERVL-MaLR"
"82","AluY","SINE","Alu"
"83","MER4D1","LTR","ERV1"
"92","AluSg4","SINE","Alu"
"94","AluSx3","SINE","Alu"
"96","MSTB1","LTR","ERVL-MaLR"
"97","AluSq","SINE","Alu"
"99","MLT1C","LTR","ERVL-MaLR"
"100","AluJb","SINE","Alu"
"103","AluSq2","SINE","Alu"
"104","MLT1F2","LTR","ERVL-MaLR"
"105","L1ME3E","LINE","L1"
"108","MLT1D","LTR","ERVL-MaLR"
"109","THE1C","LTR","ERVL-MaLR"
"112","L1MA5","LINE","L1"
"116","AluSg","SINE","Alu"
"118","MER1A","DNA","hAT-Charlie"
"120","LTR41","LTR","ERVL"
"121","AluJr4","SINE","Alu"
"124","Tigger12","DNA","TcMar-Tigger"
"125","LTR37A","LTR","ERV1"
"127","AluSg7","SINE","Alu"
"128","MER11C","LTR","ERVK"
"130","L1ME4b","LINE","L1"
"132","MER8","DNA","TcMar-Tigger"
"133","AluSx1","SINE","Alu"
"137","Charlie4z","DNA","hAT-Charlie"
"144","MLT1J","LTR","ERVL-MaLR"
"145","MLT2B3","LTR","ERVL"
"146","MER31-int","LTR","ERV1"
"149","MER34A","LTR","ERV1"
"150","L1MC3","LINE","L1"
"155","L1ME4a","LINE","L1"
"156","AluYc","SINE","Alu"
"158","L1MC","LINE","L1"
"164","L1MA4","LINE","L1"
"165","Charlie9","DNA","hAT-Charlie"
"168","Tigger4b","DNA","TcMar-Tigger"
"170","L1MD3","LINE","L1"
"171","AluYf1","SINE","Alu"
"174","L1ME1","LINE","L1"
"178","MER5A","DNA","hAT-Charlie"
